,input,prediction,ground_truth
95,"Robert wanted to watch a movie in the evening show at 7pm, he left the office 30 minutes before 8pm.",1,0
96,"Jim needed to buy drinks for his family for their week-long vacation, so he bought a few of bottles of water.",1,0
97,"Jim needed to buy drinks for his family for their week-long vacation, so he bought many bottles of water.",1,1
98,"She was short ten cents, but was able to buy it after finding a penny.",1,0
99,"She was short ten cents, but was able to buy it after finding a quarter.",1,1
100,"Paula's school is within a ten minute walk, so to get there faster she decided to ride a bike.",1,1
101,"Paula's school is within a ten minute walk, so to get there faster she decided to take a plane.",1,0
102,"It's less convenient to use a rag rather than a strap, as a dusting cloth.",1,0
103,"It's more convenient to use a rag rather than a strap, as a dusting cloth.",1,1
104,"10 people will be coming to the party, so it is very likely that 20 cups should be enough.",1,1
105,"10 people will be coming to the party, so it is very likely that 5 cups should be enough.",1,0
106,"June stayed home from school because she was sick. When her temperature hit 98.6, her parents knew they had to rush her to the hospital.",0,0
107,"June stayed home from school because she was sick. When her temperature hit 102.1, her parents knew they had to rush her to the hospital.",0,1
108,"James' bus comes at 6:30 AM and he woke up at 6:28 AM, so he'll skip breakfast instead of making pancakes.",1,1
109,"James' bus comes at 6:30 AM and he woke up at 5:30 AM, so he'll skip breakfast instead of making pancakes.",1,0
110,"Collette was leaving her home for 10 days, so she hired a pet sitter",1,1
111,"Collette was leaving her home for an hour, so she hired a pet sitter.",1,0
112,"If you have lost your oven mitt, it would be much more useful to use a dry towel than it would be to use a football to remove your cookies from the oven.",1,1
113,"If you have lost your oven mitt, it would be much more useful to use a football than it would be to use a dry towel to remove your cookies from the oven.",1,0
114,"As I was too short to reach the top shelf at the grocery store, I asked a taller passerby for help.",1,1
115,"As I was too short to reach the top shelf at the grocery store, I asked a small kid passing by for help.",1,0
116,"Since she must leave for work in thirty minutes, she should take a bath instead of a shower.",1,0
117,"Since she must leave for work in thirty minutes, she should take a shower instead of a bath.",1,1
118,Jonah is an intern at an office where Hilda is a supervisor. Jonah can be expected to get coffee for Hilda.,0,1
119,Jonah is an intern at an office where Hilda is a supervisor. Hilda will be expected to get coffee for Jonah.,0,0
120,"The woman had twins, one of whom was born a day after the other.",1,1
121,"The woman had twins, one of whom was born a month after the other.",1,0
122,"Xochil was going on her first date with Miguel, so it is more likely he will bring a ring than flowers for her.",1,0
123,"Xochil was going on her first date with Miguel, so it is more likely he will bring flowers than a ring for her.",1,1
124,Icicles were dangling from the roof because the attic was too warm.,1,1
125,Icicles were dangling from the roof because the attic was insulated.,1,0
126,"Jonathan was craving for a coffee, he visited a coffee shop and ordered a tea.",1,0
127,"Jonathan was craving for a coffee, he visited a coffee shop and ordered a coffee.",1,1
128,"Natalie was embarrassed when her husband yelled at her in the store, so she told all her classmates about the experience.",1,0
129,"Natalie was embarrassed when her husband yelled at her in the store, so she didn't tell any of her classmates about the experience.",1,1
130,"When the calculus teacher felt ill, the principal asked the physics teacher to fill in, not the art teacher.",1,1
131,"When the calculus teacher felt ill, the principal asked the art teacher to fill in, not the physics teacher.",1,0
132,"With his in-laws arriving for dinner in a few minutes, Carl decides to bake a cake rather than order one.",1,0
133,"With his in-laws arriving for dinner in a few minutes, Carl decides to order a cake rather than bake one.",1,1
134,"Joe was an environmentalist, so he was more likely to use styrofoam containers when out.",1,0
135,"Joe was an environmentalist, so he was more likely to use reusable shopping bags when out.",1,1
136,Amy went to Seattle during November so she decided to wear multiple layers.,1,1
137,Amy went Seattle during July so she decided to wear multiple layers.,0,0
138,It is easier to run 500 feet than 100 feet.,1,0
139,It is easier to run 100 feet than 500 feet.,1,1
140,"The criminal had only nine minutes to get away after the alarm was sounded, so he made sure the get-away car was just across the street",1,1
141,"The criminal had only nine minutes to get away after the alarm was sounded, so he made sure the get-away car was far from the scene.",1,0
142,"I left an empty bucket under a leak and the next day the water had risen 10 cm in the bucket, so it will be overflowing in a week.",1,1
143,"I left an empty bucket under a leak and the next day the water had risen 10 cm in the bucket, so it will be overflowing tomorrow.",1,0
144,"There was a stain on my t-shirt, and I wanted to get it out, so I rubbed it into the shirt, causing the stain to fade.",1,0
145,"There was a stain on my t-shirt, and I wanted to get it out, so I rubbed it into the shirt, causing the stain to darken.",1,1
146,"John has an important job interview on Monday morning, so he would rather go partying on Saturday night than on Sunday night.",0,1
147,"John has an important job interview on Sunday morning, so he would rather go partying on Saturday night than on Sunday night.",0,0
148,"To keep a nice looking front yard, I need to mow my lawn about once per year, not once per week.",0,0
149,"To keep a nice looking front yard, I need to mow my lawn about once per week, not once per year.",0,1
150,"If I want to complete a twenty-five piece puzzle, I should save four hours of free time rather than twenty minutes.",0,0
151,"If I want to complete a five hundred piece puzzle, I should save four hours of free time rather than twenty minutes.",0,1
152,"If Granny starts making the tea now, you can have ice tea sooner than hot tea.",1,0
153,"If Granny starts making the tea now, you can have hot tea sooner than ice tea.",1,1
154,"With a grocery budget of $200, she can probably buy more than $200 worth of groceries if she shops at discount stores.",0,1
155,"With a grocery budget of $200, she can't buy more than $200 worth of groceries even if she shops at discount stores.",1,0
156,"John is going bald, so he uses more shampoo than Steve.",1,0
157,"John is going bald, so he uses less shampoo than Steve.",1,1
158,"I didn't want the ice cream to melt, so I put it in the oven.",1,0
159,"I didn't want the ice cream to melt, so I put it in the freezer.",1,1
160,"Whenever Ella needs a haircut, she always goes to her favorite dentist in the town.",1,0
161,"When Ella needs a haircut, she is likely to go to her favorite salon in the town.",1,1
162,"Since dinner needs to be ready by 5:00 pm, I should not leave for my weekly grocery trip at 4:30 pm.",1,1
163,"Since dinner needs to be ready by 5:00 pm, I should leave for my weekly grocery trip at 4:30 pm.",1,0
164,I like to nap everyday so I have few chances to take an afternoon walk and still get my work done.,1,1
165,I like to nap everyday so I have many chances to take an afternoon walk and still get my work done.,1,0
166,The hungry kittens solved their problem by tearing into a bag of dog food.,1,1
167,The hungry kittens solved their problem by tearing into a can of dog food.,1,0
168,"For a better texture, it is better to put almond in ice cream than soy sauce.",1,1
169,"For a better texture, it is better to put soy sauce in ice cream than almond.",1,0
170,Sally's sister is ten years younger than her so it is less likely Sally will have children first.,1,0
171,Sally's sister is ten years younger than her so it is more likely Sally will have children first.,1,1
172,Heather's son Mike is six and her daughter Nellie is seventeen. Heather allows Nellie to drive home from school unsupervised but has Mike take the bus.,0,1
173,Heather's son Mike is six and her daughter Nellie is seventeen. Heather allows Mike to drive home from school unsupervised but has Nellie take the bus.,0,0
174,"I can visit three continents in a day, but not three cities.",1,0
175,"I can visit three cities in a day, but not three continents.",1,1
176,"Peter got injured in a car accident this afternoon, so he was not able to go to work yesterday.",1,0
177,"Peter got heavily injured in a car accident last week, so he won't be able to go to work tomorrow.",1,1
178,"If it is raining, I should not ask my guests to take off their shoes before they come in my house.",1,0
179,"If it is raining, I should ask my guests to take off their shoes before they come in my house.",1,1
180,"As fall is ending, the nights are usually getting colder.",1,1
181,"As spring is ending, the nights are usually getting colder.",1,0
182,Ian is a professor while Jim is a businessman. Ian is less likely to travel abroad than Jim.,0,1
183,Ian is a professor while Jim is a businessman. Ian is more likely to travel abroad than Jim.,0,0
184,"Jan wanted some time off his job to attend lunch with his girlfriend, so he asked his manager for a break at 12 AM instead of 12 PM.",1,0
185,"Jan wanted some time off his job to attend lunch with his girlfriend, so he asked his manager for a break at 12 PM instead of 12 AM.",0,1
186,Sarah had a small dinner at her house for her three best friends and set four place settings.,1,1
187,Sarah had a small dinner at her house for her three best friends and set fourteen place settings.,1,0
188,Susan is coming over to Sally's baby shower so Sally is offering her diapers,1,0
189,Susan is coming over to Sally's baby shower so she is bringing diapers,1,1
190,The heating was broken so to stay warm inside she thought it'd be better to wear a blanket than a towel.,1,1
191,The heating was broken so to stay warm inside she thought it'd be better to wear a towel than a blanket.,1,0
192,The woman found that the butter knife could cut through steak as easily as it cut through butter.,1,0
193,The woman found that the steak knife could cut through butter as easily as it cut through steak.,1,1
194,"A speeding car is a few meters away from an obstacle. In order to avoid a collision, the driver can take up to two minutes to react instead of reacting immediately.",0,0
195,"A speeding car is a few kilometers away from an obstacle. In order to avoid a collision, the driver can take up to two minutes to react instead of reacting immediately.",0,1
196,"If the pencil is not working, you can check the outlet to see if it is plugged in.",1,0
197,"If the television is not working, you can check the outlet to see if it is plugged in.",1,1
198,"Mark checked his boots for scorpions while Jim just shoved his feet in, so Mark is less likely to get stung.",1,1
199,"Mark checked his boots for scorpions while Jim just shoved his feet in, so Jim is less likely to get stung.",1,0
200,"The weather forecast says it will be sunny this week until it starts raining for three days starting Friday, so I will carry an umbrella this Thursday but not this Saturday.",0,0
201,"The weather forecast says it will be sunny this week until it starts raining for three days starting Friday, so I will carry an umbrella this Saturday but not this Thursday.",0,1
202,It takes 20 minutes to walk from school to the bus stop and the last bus is 10 minutes after my class ends so I have to leave class 20 minutes earlier.,1,0
203,It takes 20 minutes to walk from school to the bus stop and the last bus is 10 minutes after my class ends so I have to leave class 10 minutes earlier.,1,1
204,It is more convenient to swim naked than swim in a dress.,1,1
205,It is harder to swim naked than swim in a dress.,1,0
206,Molly had thought it would take her three hours to move. She was happy when it took her six hours to move.,0,0
207,Molly had thought it would take her six hours to move. She was happy when it took her three hours to move.,0,1
208,A football player will have more difficulty throwing a football with two broken arms than with no broken arms.,1,1
209,A football player will not have more difficulty throwing a football with two broken arms than with no broken arms.,1,0
210,An axe is less suitable for cutting down a tree than a chisel.,1,0
211,An axe is more suitable for cutting down a tree than a chisel.,1,1
212,"Sue called her mother and she wasn't home, so she won't have to leave a message.",1,0
213,"Sue called her mother and she wasn't home, so she will have to leave a message.",1,1
214,"Because I wanted a sweeter banana custard, I waited a month for the bananas to ripen.",0,0
215,"Because I wanted a sweeter banana custard, I waited a day for the bananas to ripen.",0,1
216,"Matthew has played video games for years, whereas Dick just received his first ever game console. People will expect Dick to be more skilled at gaming.",0,0
217,"Matthew has played video games for years, whereas Dick just received his first ever game console. People will expect Matthew to be more skilled at gaming.",0,1
218,"My watch is running fast, so I need to add a few minutes to figure out the correct time.",1,0
219,"My watch is running slow, so I need to add a few minutes to figure out the correct time.",1,1
220,"Mike is a vegan, but his wife Lisa is not. Therefore, Lisa is more likely to order meringue for dessert.",0,1
221,"Mike is a vegan, but his wife Lisa is not. Therefore, Mike is more likely to order meringue for dessert.",0,0
222,If you have a new shredder you should place it on the ground so you don't lean over the sharp machinery.,1,0
223,If you have a new shredder you should place it at eye level so you don't lean over the sharp machinery.,0,1
224,"If you do not put off paying your bills on time, it is likely that your debts will decrease.",1,1
225,"If you do not put off paying your bills on time, it is likely that your debts will increase.",1,0
226,"Frida wanted to avoid crowds at the beach, so she went there at 12 pm.",1,0
227,"Frida wanted to avoid crowds at the beach, so she went there at 12 am.",1,1
228,"It's Jill's birthday, so it's likely she will bring her friend Sally a gift.",1,0
229,"It's Jill's birthday, so it's likely her friend Sally will bring her a gift.",1,1
230,"When adjusting music volume levels to their max settings, it will increase the likelihood of hearing loss.",1,1
231,"When adjusting music volume levels to their max settings, it will improve a person's hearing.",0,0
232,"Tim's return from China to the U.S. got delayed at least one day due to inclement weather causing the cancellation of the plane, he may return to work two days later.",1,1
233,"Tim's return from China to the U.S. got delayed at least one day due to inclement weather causing the cancellation of the plane, he will return to work tomorrow.",1,0
234,"Hoping to have a heart to heart with her friend over lunch, Lisa asked her to take a long lunch break instead of a short one.",1,1
235,"Hoping to have a heart to heart with her friend over lunch, Lisa asked her to take a short lunch break instead of a long one.",1,0
236,Nancy is a professor in pediatrics and Sally is a high school teacher so Nancy is more likely to work with kids.,1,1
237,Nancy is a professor in pediatrics and Sally is a high school teacher so Sally is more likely to work with kids.,1,0
238,"Sandra stays home and looks after her four kids, so people would understand if she doesn't wear makeup.",1,1
239,"Sandra stays home and looks after her four kids, so people wouldn't understand if she didn't wear makeup.",1,0
240,"Nicole just got home from a very strenuous hike, so she would rather relax for six minutes than six hours.",1,0
241,"Nicole just got home from a very strenuous hike, so she would rather relax for six hours than six minutes.",1,1
242,"If you want a snack, getting twenty bananas would be a good choice generally.",0,0
243,"If you want a quick snack, getting one banana would be a good choice generally.",1,1
244,"Even if the late fee is only 10 dollars, it is better to pay 10 dollars in late fees than nothing.",1,0
245,"Even if the late fee is only 10 dollars, it is better to pay nothing in late fees than a ten-dollar late fee.",1,1
246,Someone caring for a newborn is less likely to have a good night of sleep compared with someone who isn't caring for one.,1,1
247,Someone caring for a newborn is more likely to have a good night of sleep compared with someone who isn't caring for one.,1,0
248,"When you try to scrape pieces of gum under the desk, it would be better to use a comb than a coin.",1,0
249,"When you try to scrape pieces of gum under the desk, it would be better to use a coin than a comb.",1,1
250,"As I have to be at work in one hour, I will go to the laundromat now and do the dishes later.",1,0
251,"As I have to be at work in one hour, I will do the dishes now and go to the laundromat later.",1,1
252,"I dropped the kids off for the movie at 2PM, so they should be ready for pick-up by 4PM.",1,1
253,"I dropped the kids off for the movie at 4PM, so they should be ready for pick-up at 2PM.",1,0
254,"Lucas is an extremely sloppy eater, so on his first date he thinks it's a good idea to go to the movies.",1,1
255,"Lucas is an extremely sloppy eater, so on his first date he thinks it's a good idea to eat out at a restaurant.",1,0
256,Picking a scab off a wound will make the wound heal slower than not picking the scab off.,1,1
257,Picking a scab off a wound will make the wound heal faster than not picking the scab off.,1,0
258,"Since John has a Zoom meeting early in the afternoon, he would schedule his doctor's appointment for the morning rather than his overseas flight.",1,1
259,"Since John has a Zoom meeting in the early afternoon, he would schedule his overseas flight for the morning rather than his doctor's appointment.",1,0
260,"As she didn't have a hammer, she could try to pound the nail in with a shoe.",1,1
261,"Since she didn't have a hammer, she could try to pound the nail in with a screwdriver.",1,0
262,"Since the kids are sleeping, I should mix cookie dough with the loud electric mixer",1,0
263,"Since the kids are sleeping, I should mix the cookie dough by hand",1,1
264,"Anna drives to work every day while Bry works from home, therefore Anna is more likely to experience a flat tire.",1,1
265,"Anna drives to work every day while Bry works from home, therefore Anna is less likely to experience a flat tire.",1,0
266,"To travel to Iceland from California, it is faster to fly on a plane rather than take a boat.",1,1
267,"To travel to Iceland from California, it is slower to fly on a plane rather than take a boat.",1,0
268,Fred decided to say excuse me instead of saying big burp in reaction to his loud burp in the restaurant.,1,1
269,Fred decided to say big burp instead of saying excuse me in reaction to his loud burp in the restaurant.,1,0
270,"I wanted to eat eggs, so I boiled 4 potatoes, peeled them and ate them.",0,0
271,"I wanted to eat eggs, so I boiled 4 eggs, peeled them and ate them.",0,1
272,"There are 839 people in a club with a maximum occupancy of 850, 9 just departed, and now we've exceeded the limit by 20 clubgoers.",1,0
273,"There are 839 people in a club with a maximum occupancy of 850, 20 more just arrived, and now we've exceeded the limit by 9 clubgoers.",1,1
274,"If Sean has a girlfriend and John is single, Sean is more likely to work longer hours on Valentine's day than John.",1,0
275,"If Sean has a girlfriend and John is single, John is more likely to work longer hours on Valentine's day than Sean.",1,1
276,Given that Grace is next to perform on stage she will do her make up rather than waiting for her make up artist,1,1
277,Given that Grace is next to perform on stage she will wait for her make up artist rather than doing her own make up.,1,0
278,"To clean carpet, it is much easier to use a vacuum than a broom",1,1
279,"To clean carpet, it is much easier to use a broom than a vacuum.",1,0
280,"If my refrigerator stops working, I can put my food outside in the sun until it is fixed.",0,0
281,"If my refrigerator stops working, I can put my food outside in the snow until it is fixed.",1,1
282,"If you run 10 miles, you will feel tired.",1,1
283,"If you run 10 miles, you will feel well rested.",1,0
284,"While driving on the road, Christ hears an ambulance siren sound so he speeds up.",0,0
285,"While driving on the road, Christ hears an ambulance siren sound so he slows down.",0,1
286,"As the period for free service of the vehicle was over, Jack did not pay for the last service.",1,0
287,"As the period for free service of the vehicle was over, Jack had to pay for the last service.",1,1
288,A smartphone built 1 year ago is more likely to be smaller one built 10 years ago.,1,1
289,A smartphone built 10 years ago is more likely to be smaller than one built 1 year ago.,1,0
290,It's easier to pick up a spatula with one hand than it is to pick up a frying pan.,1,1
291,It's easier to pick up a frying pan with one hand than it is to pick up a spatula.,1,0
292,"Since the floor is wet, you should probably put a tarp to alert the customers.",1,0
293,"Since the floor is wet, you should probably put a warning sign to alert the customers.",1,1
294,"As the prices were soaring up, shoppers increased their purchase quantity.",1,0
295,"As the prices were soaring up, shoppers reduced their purchase quantity.",1,1
296,"Because the museum's security is worse at night, Tim should rob the museum at 3:00 pm instead of 3:00 am.",1,0
297,"Because the museum's security is worse at night, Tim should rob the museum at 3:00 am instead of 3:00 pm.",1,1
298,"An online shop accepts a returned product only within a week of purchase, so Jill had to return hers ten days after buying it rather than three days later.",0,0
299,"An online shop accepts a returned product only within a week of purchase, so Jill had to return hers three days after buying it rather than ten days later.",0,1
300,"If you are out of soap, it is better to use hand sanitizer than water.",0,1
301,"If you are out of soap, it is better to use water than hand sanitizer.",0,0
302,If you want to get Halloween candy on sale you should go one day after Halloween.,1,1
303,If you want to get Halloween candy on sale you should go one day before Halloween.,1,0
304,"Because John removed the steering wheel from his Mercedes, he can drive the Mercedes, as it is, to the beach.",0,0
305,"Because John removed the steering wheel from his Mercedes, he can't drive the Mercedes, as it is, to the beach.",1,1
306,"I brought a lot of work to do tonight, so I should make sure dinner takes 3 hours rather than 30 minutes.",0,0
307,"I brought a lot of work to do tonight, so I should make sure dinner takes 30 minutes rather than 3 hours.",0,1
308,The family's drier is broken so it's better to wait for a warm rainy day rather than a cold sunny day to wash their clothes.,1,0
309,The family's drier is broken so it's better to wait for a cold sunny day rather than a warm rainy day to wash their clothes.,1,1
310,An easy way to get past a locked house door is with a lockpick.,1,1
311,An easy way to get past a locked house door is with a car key.,1,0
312,Elite football clubs have better chances of winning because they have more money for player wages,1,1
313,Elite football clubs have better chances of winning because they have nicer changing rooms,1,0
314,"As he has to be at the gym in 5 minutes, he does not have time for a nap.",1,1
315,"As he has to be at the gym in 5 hours, he does not have time for a nap.",1,0
316,Ted is a painter and Rick is a floor guy. Rick is more likely to get back problems than Ted.,0,1
317,Ted is a painter and Rick is a floor guy. Rick is less likely to get back problems than Ted.,0,0
318,"If the leaves of a tree fall, it must be in autumn.",1,0
319,"If the leaves of a tree fall, it does not mean it is autumn.",1,1
320,Lucy cheated his husband. It's likely that she confessed to her husband and wowed to never do it again.,1,1
321,"Lucy cheated his husband, she confessed to her husband and wowed to do it again and again.",1,0
322,Tim is going on a hike with his family. It would make more sense for him to use the bathroom before leaving rather than waiting until he gets back.,0,1
323,Tim is going on a hike with his family. It would make less sense for him to use the bathroom before leaving rather than waiting until he gets back.,0,0
324,"Since he has a microwave, he can reheat the pizza in a metal plate.",1,0
325,"Since he has a microwave, he can reheat the pizza in a ceramic plate.",1,1
326,"Bob believes in the tooth fairy, so he must be very old.",1,0
327,"Bob believes in the tooth fairy, so he can be very young.",1,1
328,"Since her daughter's tooth had been loose for a few months, she was not surprised when it fell out today instead of next month.",1,1
329,"Since her daughter's tooth had been loose for a few days, she was not surprised when it fell out today instead of next month.",1,0
330,It is harder to walk home from the store if you just bought a few things.,1,0
331,It is easier to walk home from the store if you just bought a few things.,1,1
332,"Maxwell and Myles take turns driving on a long trip. Maxwell drinks coffee while Myles does not. Therefore, Myles is more likely to fall asleep while driving.",0,1
333,"Maxwell and Myles take turns driving on a long trip. Maxwell drinks coffee while Myles does not. Therefore, Maxwell is more likely to fall asleep while driving.",0,0
334,"While a person on the west coast of USA is having dinner around 8 pm, most people in Australia are asleep",1,0
335,"While a person in the Europe is having dinner around 8 pm GMT, most people in Australia are asleep",1,1
336,"Jenna is five feet tall. Since she can just barely reach the apples growing on the tree, so can her sister who's four feet and six inches.",1,0
337,"Jenna is five feet tall. Since she can just barely reach the apples growing on the tree, so can her sister who's five feet and six inches.",1,1
338,"Sarah starts college in 3 months, so she should choose her classes in the next month rather than the next year.",1,1
339,"Sarah starts college in 3 months, so she should choose her classes in the next year rather than the next month.",1,0
340,"John had to get up early Saturday, so he went to bed early on Friday instead of staying up late.",1,1
